holoCaM-CaMKII.loop1.water2.frame118	7 2.522430110068565	2.0099
holoCaM-CaMKII.loop1.water2.frame11	7 2.1382017836688023	1.8842
holoCaM-CaMKII.loop1.water2.frame121	7 2.3667243753979275	1.9010
holoCaM-CaMKII.loop1.water2.frame122	7 2.508392416508471	1.9069
holoCaM-CaMKII.loop1.water2.frame123	6 2.4399131409072363	1.9162
holoCaM-CaMKII.loop1.water2.frame124	7 2.4191648903804897	1.9057
holoCaM-CaMKII.loop1.water2.frame128	6 2.532518679686275	1.8513
holoCaM-CaMKII.loop1.water2.frame129	7 2.417448855291907	1.9607
holoCaM-CaMKII.loop1.water2.frame12	7 2.1564453433486914	1.9358
holoCaM-CaMKII.loop1.water2.frame131	7 2.5972522932315742	1.9934
holoCaM-CaMKII.loop1.water2.frame132	7 2.362874970693528	1.9866
holoCaM-CaMKII.loop1.water2.frame133	7 2.3351577893137554	1.9582
holoCaM-CaMKII.loop1.water2.frame134	7 2.3347049741458568	1.8869
holoCaM-CaMKII.loop1.water2.frame135	7 2.3288588859593196	1.8759
holoCaM-CaMKII.loop1.water2.frame136	6 2.2709852396370303	1.8851
holoCaM-CaMKII.loop1.water2.frame137	7 2.23544414381501	1.9127
holoCaM-CaMKII.loop1.water2.frame138	7 2.1204660761919083	1.8724
holoCaM-CaMKII.loop1.water2.frame139	6 1.9292613001975234	1.8757
holoCaM-CaMKII.loop1.water2.frame13	7 1.8874826001208356	1.9089
holoCaM-CaMKII.loop1.water2.frame140	7 2.156154597483735	2.0023
holoCaM-CaMKII.loop1.water2.frame141	7 2.410901787364241	2.1376
holoCaM-CaMKII.loop1.water2.frame142	6 2.2885853899965816	1.9368
holoCaM-CaMKII.loop1.water2.frame143	7 2.1432921354819596	2.0083
holoCaM-CaMKII.loop1.water2.frame144	7 2.2284686152344997	1.9729
holoCaM-CaMKII.loop1.water2.frame145	7 2.2779450768501066	1.9019
holoCaM-CaMKII.loop1.water2.frame146	7 2.3767353884708253	1.8972
holoCaM-CaMKII.loop1.water2.frame147	7 2.1393347285805344	1.8766
holoCaM-CaMKII.loop1.water2.frame148	7 2.338962660762898	1.9437
holoCaM-CaMKII.loop1.water2.frame149	7 2.01382275073024	1.9501
holoCaM-CaMKII.loop1.water2.frame14	7 2.2182510524284402	1.9623
